algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
kota-t2,DiskANN,bigann-1B,10,1729.9645217994996,2268.1108,1000000.0,60379620.0,34902.23021290255,55.7439,4592.0382,0.9371
kota-t2,DiskANN,bigann-1B,10,1313.924291806509,2863.43984,1000000.0,60379620.0,45953.652258749484,74.3488,6001.7167,0.9640000000000001
kota-t2,DiskANN,bigann-1B,10,1157.3305547640223,3206.66504,1000000.0,60379620.0,52171.455900351044,85.1725,6820.1601,0.9731
kota-t2,DiskANN,bigann-1B,10,1420.3258344842309,2677.71058,1000000.0,60379620.0,42511.10451844025,68.5255,5564.5106,0.9581500000000001
kota-t2,DiskANN,bigann-1B,10,1642.9486573844054,2375.40114,1000000.0,60379620.0,36750.76499111366,59.1014,4829.8101,0.94337
kota-t2,DiskANN,bigann-1B,10,2217.5682863981187,1801.02192,1000000.0,60379620.0,27227.85150308561,41.2181,3572.5136,0.89177
kota-t2,DiskANN,bigann-1B,10,1489.4038761039308,2580.0169,1000000.0,60379620.0,40539.45405187512,65.4768,5320.1737,0.9541000000000001
kota-t2,DiskANN,bigann-1B,10,1564.4039965126092,2479.1623200000004,1000000.0,60379620.0,38595.92543524504,62.3378,5068.6112,0.94878
kota-t2,DiskANN,bigann-1B,10,1938.0611173226125,2043.5712,1000000.0,60379620.0,31154.65217289591,48.7581,4092.3886,0.9196
kota-t2,DiskANN,bigann-1B,10,1533.9216597336165,2519.14818,1000000.0,60379620.0,39362.90984409571,63.5898,5166.4773,0.9508599999999999
kota-t2,DiskANN,ssnpp-1B,60000,2237.9455403144407,1572.170728,1000000.0,63001892.0,28151.664490972365,31.02686,2363.41259,0.1557059316298228
kota-t2,DiskANN,ssnpp-1B,60000,2653.424797101891,1589.73445,1000000.0,63006140.0,23745.214135639428,36.27968,2319.8051,0.14839052820176385
kota-t2,DiskANN,ssnpp-1B,60000,3155.3199596933705,1325.716972,1000000.0,63006140.0,19968.225347936776,31.16975,1880.63766,0.13241077434436713
kota-t2,DiskANN,ssnpp-1B,60000,1968.8022474863317,1849.401862,1000000.0,63001892.0,32000.111783922264,37.09872,2799.77005,0.1821203017821256
bbann,BBANN,text2image-1B,10,1902.735310390915,0.0,1000000.0,29064836.0,15275.29123009162,0.0,0.0,0.45160600000000006
bbann,BBANN,text2image-1B,10,1592.557788590405,0.0,1000000.0,29064836.0,18250.412140915585,0.0,0.0,0.49080700000000005
bbann,BBANN,text2image-1B,10,2197.8065625321065,0.0,1000000.0,29064836.0,13224.474116827745,0.0,0.0,0.42842900000000006
bbann,BBANN,text2image-1B,10,1540.622672933968,0.0,1000000.0,29064836.0,18865.64212679592,0.0,0.0,0.495423
bbann,BBANN,text2image-1B,10,1571.8388035067858,0.0,1000000.0,29064836.0,18490.97753227373,0.0,0.0,0.486085
bbann,BBANN,text2image-1B,10,1581.271710631964,0.0,1000000.0,29064836.0,18380.671585140848,0.0,0.0,0.49324500000000004
bbann,BBANN,text2image-1B,10,1608.3394385279835,0.0,1000000.0,29064836.0,18071.332023419945,0.0,0.0,0.484772
bbann,BBANN,text2image-1B,10,1555.2814633486682,0.0,1000000.0,29064836.0,18687.830264125092,0.0,0.0,0.487202
bbann,BBANN,text2image-1B,10,2314.605123985524,0.0,1000000.0,29064836.0,12557.146659190483,0.0,0.0,0.425323
bbann,BBANN,text2image-1B,10,1685.0312317828493,0.0,1000000.0,29064836.0,17248.841120439007,0.0,0.0,0.471499
kota-t2,DiskANN,msturing-1B,10,1869.9105083966315,2199.94934,1000000.0,60658012.0,32438.99198791693,55.69439,4245.34491,0.926499
kota-t2,DiskANN,msturing-1B,10,1708.9818447326425,2377.74471,1000000.0,60658012.0,35493.65500105093,61.39347,4646.6233,0.934886
kota-t2,DiskANN,msturing-1B,10,1829.7687123162966,2242.62236,1000000.0,60658012.0,33150.64444577439,57.06105,4338.58571,0.928661
