algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
cufe,cufe_linscan,sparse-full,10,176.78527116321817,0.0,666.7753720283508,6169632.0,0,0,sparse,0.36765714285714285
cufe,cufe_linscan,sparse-full,10,143.74398454120478,0.0,666.7753720283508,6169632.0,0,0,sparse,0.6379714285714286
cufe,cufe_linscan,sparse-full,10,106.2542841035725,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8097857142857142
cufe,cufe_linscan,sparse-full,10,88.62355787483844,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8624
cufe,cufe_linscan,sparse-full,10,86.49107197739723,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8698428571428571
cufe,cufe_linscan,sparse-full,10,84.38145046637749,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8770714285714286
cufe,cufe_linscan,sparse-full,10,82.37552400642231,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8829571428571429
cufe,cufe_linscan,sparse-full,10,80.56488956588468,0.0,666.7753720283508,6169632.0,0,0,sparse,0.8895428571428571
cufe,cufe_linscan,sparse-full,10,64.66560328921302,0.0,666.7753720283508,6169632.0,0,0,sparse,0.9371714285714285
cufe,cufe_linscan,sparse-full,10,39.42614820048584,0.0,666.7753720283508,6169632.0,0,0,sparse,0.9875
cufe,"diskann(('R64_L500', {'Ls': 30, 'T': 8}))",text2image-10M,10,6961.601054846785,0.0,-1.0,11090048.0,0,0,ood,0.790836
cufe,"diskann(('R64_L500', {'Ls': 50, 'T': 8}))",text2image-10M,10,5282.596807905476,0.0,-1.0,11090048.0,0,0,ood,0.8525690000000001
cufe,"diskann(('R64_L500', {'Ls': 70, 'T': 8}))",text2image-10M,10,4297.232076190693,0.0,-1.0,11090048.0,0,0,ood,0.885559
cufe,"diskann(('R64_L500', {'Ls': 100, 'T': 8}))",text2image-10M,10,3414.617621928977,0.0,-1.0,11090048.0,0,0,ood,0.914532
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,6673.421916137554,0.0,1133.1915485858917,5558960.0,0,0,filter,0.48275499999999993
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,6142.568673524229,0.0,1133.1915485858917,5558960.0,0,0,filter,0.537519
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,6321.951735954622,0.0,1133.1915485858917,5558960.0,0,0,filter,0.626071
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,5781.923686068986,0.0,1133.1915485858917,5558960.0,0,0,filter,0.673496
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,1213.5035530712482,0.0,1133.1915485858917,5558960.0,0,0,filter,0.77993
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,5307.75449372811,0.0,1133.1915485858917,5558960.0,0,0,filter,0.781371
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,4944.8688849394375,0.0,1133.1915485858917,5558960.0,0,0,filter,0.8179460000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,4357.781872752246,0.0,1133.1915485858917,5558960.0,0,0,filter,0.848264
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,1212.4105080645572,0.0,1133.1915485858917,5558960.0,0,0,filter,0.8602969999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,4166.714599286576,0.0,1133.1915485858917,5558960.0,0,0,filter,0.878368
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,3254.2001898440685,0.0,1133.1915485858917,5558960.0,0,0,filter,0.901773
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,3196.0807581773292,0.0,1133.1915485858917,5558960.0,0,0,filter,0.9249769999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,2611.999743178202,0.0,1133.1915485858917,5558960.0,0,0,filter,0.9266780000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.01}))",yfcc-10M,10,1188.8095125848517,0.0,1133.1915485858917,5558960.0,0,0,filter,0.9352309999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0003}))",yfcc-10M,10,2607.316557306554,0.0,1133.1915485858917,5558960.0,0,0,filter,0.94572
