algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,5540.780477955831,0.0,-1,2921264.0,0,0,filter,0.722264
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,4991.026501560309,0.0,-1,2921264.0,0,0,filter,0.761878
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 10, 'mt_threshold': 0.0001}))",yfcc-10M,10,4184.708797504027,0.0,-1,2921264.0,0,0,filter,0.8263619999999999
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 8, 'mt_threshold': 0.0003}))",yfcc-10M,10,4231.148033154584,0.0,-1,2921264.0,0,0,filter,0.8357519999999999
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 12, 'mt_threshold': 0.0002}))",yfcc-10M,10,3743.7007918433296,0.0,-1,2921264.0,0,0,filter,0.8609180000000001
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,3383.7700383587962,0.0,-1,2921264.0,0,0,filter,0.870402
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,3202.0333224295996,0.0,-1,2921264.0,0,0,filter,0.8960440000000001
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.00033}))",yfcc-10M,10,3195.205534030068,0.0,-1,2921264.0,0,0,filter,0.8983840000000001
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 30, 'mt_threshold': 0.00033}))",yfcc-10M,10,2291.0317034175628,0.0,-1,2921264.0,0,0,filter,0.937833
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 32, 'mt_threshold': 0.00033}))",yfcc-10M,10,2196.607432270694,0.0,-1,2921264.0,0,0,filter,0.941038
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,5945.244749219077,0.0,-1.0,2931896.0,0,0,filter,0.48275499999999993
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,5281.6901231091115,0.0,-1.0,2931896.0,0,0,filter,0.537519
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,5726.9960008693915,0.0,-1.0,2931896.0,0,0,filter,0.626071
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,5160.4486065983865,0.0,-1.0,2931896.0,0,0,filter,0.673496
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,1250.3444271855033,0.0,-1.0,2931896.0,0,0,filter,0.77993
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,5006.033002213941,0.0,-1.0,2931896.0,0,0,filter,0.781371
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,4634.919416207355,0.0,-1.0,2931896.0,0,0,filter,0.8179460000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,4237.491325087723,0.0,-1.0,2931896.0,0,0,filter,0.848264
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,1246.9902078375978,0.0,-1.0,2931896.0,0,0,filter,0.8602969999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,3973.218244029237,0.0,-1.0,2931896.0,0,0,filter,0.878368
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,3252.6825532123057,0.0,-1.0,2931896.0,0,0,filter,0.901773
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,3170.757316175533,0.0,-1.0,2931896.0,0,0,filter,0.9249769999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,2669.987328282653,0.0,-1.0,2931896.0,0,0,filter,0.9266780000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.01}))",yfcc-10M,10,1230.0326741212407,0.0,-1.0,2931896.0,0,0,filter,0.9352309999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0003}))",yfcc-10M,10,2619.397917383608,0.0,-1.0,2931896.0,0,0,filter,0.94572
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.01}))",yfcc-10M,10,1197.9200588376598,0.0,-1.0,2931896.0,0,0,filter,0.9615600000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.01}))",yfcc-10M,10,1152.8513276506665,0.0,-1.0,2931896.0,0,0,filter,0.979134
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.01}))",yfcc-10M,10,1109.048883910594,0.0,-1.0,2931896.0,0,0,filter,0.9860260000000001
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 30, 'mt_threshold': 0.00033}))",yfcc-10M,10,3739.745556667947,0.0,-1.0,2928528.0,0,0,filter,0.8950210000000001
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,3680.4139791822654,0.0,-1.0,2928528.0,0,0,filter,0.89711
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00031}))",yfcc-10M,10,3669.889361292865,0.0,-1.0,2928528.0,0,0,filter,0.8980090000000001
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00033}))",yfcc-10M,10,3638.7981908554293,0.0,-1.0,2928528.0,0,0,filter,0.899634
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.0003}))",yfcc-10M,10,3596.846687658357,0.0,-1.0,2928528.0,0,0,filter,0.901292
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00035}))",yfcc-10M,10,3625.027286205938,0.0,-1.0,2928528.0,0,0,filter,0.9015190000000001
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00031}))",yfcc-10M,10,3562.950763640292,0.0,-1.0,2928528.0,0,0,filter,0.902173
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00033}))",yfcc-10M,10,3544.968263677164,0.0,-1.0,2928528.0,0,0,filter,0.903753
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00035}))",yfcc-10M,10,3543.0207524705625,0.0,-1.0,2928528.0,0,0,filter,0.9055949999999999
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 40, 'mt_threshold': 0.0003}))",yfcc-10M,10,3349.1922140645943,0.0,-1.0,2928528.0,0,0,filter,0.912138
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 11, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5000}))",yfcc-10M,10,5715.629504317638,0.0,-1.0,4960356.0,0,0,filter,0.9055799999999999
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 11, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5005}))",yfcc-10M,10,5752.463409221762,0.0,-1.0,4960356.0,0,0,filter,0.9056520000000001
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 11, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5010}))",yfcc-10M,10,5743.965688578372,0.0,-1.0,4960356.0,0,0,filter,0.9057230000000001
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 11, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5015}))",yfcc-10M,10,5749.714139011047,0.0,-1.0,4960356.0,0,0,filter,0.905771
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 11, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5020}))",yfcc-10M,10,5747.391248267429,0.0,-1.0,4960356.0,0,0,filter,0.9058350000000001
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 12, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5025}))",yfcc-10M,10,5732.0712229157225,0.0,-1.0,4960356.0,0,0,filter,0.905972
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 12, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5030}))",yfcc-10M,10,5746.4671995176495,0.0,-1.0,4960356.0,0,0,filter,0.9060180000000001
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 12, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5035}))",yfcc-10M,10,5747.477014430329,0.0,-1.0,4960356.0,0,0,filter,0.9060790000000001
fdufilterdiskann,"diskann(('R60_L80', {'Ls': 12, 'T': 16, 'threshold_1': 53500, 'threshold_2': 5040}))",yfcc-10M,10,5748.7337940356865,0.0,-1.0,4960356.0,0,0,filter,0.9061349999999999
