algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
cufe,cufe_linscan,sparse-full,10,255.32098560690855,0.0,606.7270586490631,6158092.0,0,0,sparse,0.28812320916905443
cufe,cufe_linscan,sparse-full,10,238.9533505307151,0.0,606.7270586490631,6158092.0,0,0,sparse,0.4531805157593123
cufe,cufe_linscan,sparse-full,10,209.7182646508588,0.0,606.7270586490631,6158092.0,0,0,sparse,0.6570773638968481
cufe,cufe_linscan,sparse-full,10,191.36192580825576,0.0,606.7270586490631,6158092.0,0,0,sparse,0.7439541547277937
cufe,cufe_linscan,sparse-full,10,186.4680089246077,0.0,606.7270586490631,6158092.0,0,0,sparse,0.7554297994269341
cufe,cufe_linscan,sparse-full,10,183.50157537959726,0.0,606.7270586490631,6158092.0,0,0,sparse,0.76567335243553
cufe,cufe_linscan,sparse-full,10,180.91572248887132,0.0,606.7270586490631,6158092.0,0,0,sparse,0.775272206303725
cufe,cufe_linscan,sparse-full,10,178.4495480983571,0.0,606.7270586490631,6158092.0,0,0,sparse,0.7824498567335244
cufe,cufe_linscan,sparse-full,10,153.33711072207066,0.0,606.7270586490631,6158092.0,0,0,sparse,0.85689111747851
cufe,cufe_linscan,sparse-full,10,84.97573801055172,0.0,606.7270586490631,6158092.0,0,0,sparse,0.9947134670487106
cufe,"diskann(('R64_L500', {'Ls': 30, 'T': 8}))",text2image-10M,10,10462.227834044275,0.0,3892.7360241413116,19226776.0,0,0,ood,0.7921009999999999
cufe,"diskann(('R64_L500', {'Ls': 50, 'T': 8}))",text2image-10M,10,8197.449382562205,0.0,3892.7360241413116,19226776.0,0,0,ood,0.8531299999999999
cufe,"diskann(('R64_L500', {'Ls': 70, 'T': 8}))",text2image-10M,10,6778.193646002609,0.0,3892.7360241413116,19226776.0,0,0,ood,0.886211
cufe,"diskann(('R64_L500', {'Ls': 100, 'T': 8}))",text2image-10M,10,5404.492150112458,0.0,3892.7360241413116,19226776.0,0,0,ood,0.914718
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,9269.710891070028,0.0,437.22242546081543,5534916.0,0,0,filter,0.7219089999999999
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,9571.578752626147,0.0,437.22242546081543,5534916.0,0,0,filter,0.761991
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 10, 'mt_threshold': 0.0001}))",yfcc-10M,10,10958.447997010657,0.0,437.22242546081543,5534916.0,0,0,filter,0.826374
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 8, 'mt_threshold': 0.0003}))",yfcc-10M,10,10756.690925683371,0.0,437.22242546081543,5534916.0,0,0,filter,0.836186
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 12, 'mt_threshold': 0.0002}))",yfcc-10M,10,10055.51517498373,0.0,437.22242546081543,5534916.0,0,0,filter,0.861014
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,9233.719566460515,0.0,437.22242546081543,5534916.0,0,0,filter,0.870449
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,8762.592833349507,0.0,437.22242546081543,5534916.0,0,0,filter,0.896153
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.00033}))",yfcc-10M,10,8690.737491140244,0.0,437.22242546081543,5534916.0,0,0,filter,0.8987719999999999
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 30, 'mt_threshold': 0.00033}))",yfcc-10M,10,6318.461800767277,0.0,437.22242546081543,5534916.0,0,0,filter,0.9378550000000001
cufe,"Faiss(('IVF4096,SQ8', {'nprobe': 32, 'mt_threshold': 0.00033}))",yfcc-10M,10,6051.353017070475,0.0,437.22242546081543,5534916.0,0,0,filter,0.9411809999999999
diskann,"diskann(('R64_L500', {'Ls': 30, 'T': 8}))",text2image-10M,10,11318.88176474106,0.0,3062.428204059601,19223140.0,0,0,ood,0.790594
diskann,"diskann(('R64_L500', {'Ls': 50, 'T': 8}))",text2image-10M,10,9138.981633895748,0.0,3062.428204059601,19223140.0,0,0,ood,0.852064
diskann,"diskann(('R64_L500', {'Ls': 70, 'T': 8}))",text2image-10M,10,7710.596582828187,0.0,3062.428204059601,19223140.0,0,0,ood,0.885497
diskann,"diskann(('R64_L500', {'Ls': 100, 'T': 8}))",text2image-10M,10,6295.838816713061,0.0,3062.428204059601,19223140.0,0,0,ood,0.914392
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 100, 'T': 8, 'efSearch': 32}))",text2image-10M,10,8081.965616638378,0.0,4729.371791601181,18798484.0,0,0,ood,0.894694
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 105, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7858.977810714556,0.0,4729.371791601181,18798484.0,0,0,ood,0.898814
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 110, 'T': 8, 'efSearch': 16}))",text2image-10M,10,7777.255520157866,0.0,4729.371791601181,18798484.0,0,0,ood,0.899752
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 110, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7663.219028341368,0.0,4729.371791601181,18798484.0,0,0,ood,0.9027290000000001
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 115, 'T': 8, 'efSearch': 16}))",text2image-10M,10,7571.122006791818,0.0,4729.371791601181,18798484.0,0,0,ood,0.903314
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 115, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7459.079581436895,0.0,4729.371791601181,18798484.0,0,0,ood,0.9062490000000001
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 120, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7273.463930699075,0.0,4729.371791601181,18798484.0,0,0,ood,0.909461
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 125, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7088.362814858978,0.0,4729.371791601181,18798484.0,0,0,ood,0.9125349999999999
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 130, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6914.545657677546,0.0,4729.371791601181,18798484.0,0,0,ood,0.915348
epsearch,"diskann(('R56_L500_alpha1.0', {'Ls': 140, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6602.983923104143,0.0,4729.371791601181,18798484.0,0,0,ood,0.920644
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,8463.952240777911,0.0,668.1310112476349,5570628.0,0,0,filter,0.482353
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,8450.527891037113,0.0,668.1310112476349,5570628.0,0,0,filter,0.537916
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,8377.983209253689,0.0,668.1310112476349,5570628.0,0,0,filter,0.6254120000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,8526.54776118517,0.0,668.1310112476349,5570628.0,0,0,filter,0.673195
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,9226.14853814419,0.0,668.1310112476349,5570628.0,0,0,filter,0.780685
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,1629.8814564017384,0.0,668.1310112476349,5570628.0,0,0,filter,0.7836420000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,9455.699370411943,0.0,668.1310112476349,5570628.0,0,0,filter,0.8174939999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,9423.547608315648,0.0,668.1310112476349,5570628.0,0,0,filter,0.846959
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,1629.4687228025145,0.0,668.1310112476349,5570628.0,0,0,filter,0.8628690000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,8863.102150414368,0.0,668.1310112476349,5570628.0,0,0,filter,0.877171
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,7327.855357711007,0.0,668.1310112476349,5570628.0,0,0,filter,0.901133
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,7018.49325946344,0.0,668.1310112476349,5570628.0,0,0,filter,0.924122
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,5887.486469167276,0.0,668.1310112476349,5570628.0,0,0,filter,0.926136
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.01}))",yfcc-10M,10,1617.185538999815,0.0,668.1310112476349,5570628.0,0,0,filter,0.9367979999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0003}))",yfcc-10M,10,5775.273676014299,0.0,668.1310112476349,5570628.0,0,0,filter,0.9449820000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.01}))",yfcc-10M,10,1603.3297422471476,0.0,668.1310112476349,5570628.0,0,0,filter,0.9623430000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.01}))",yfcc-10M,10,1581.0132994555108,0.0,668.1310112476349,5570628.0,0,0,filter,0.979613
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.01}))",yfcc-10M,10,1556.5087315703556,0.0,668.1310112476349,5570628.0,0,0,filter,0.986178
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 30, 'mt_threshold': 0.00033}))",yfcc-10M,10,8775.028305469861,0.0,357.6665256023407,5546548.0,0,0,filter,0.895075
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,8632.954985243225,0.0,357.6665256023407,5546548.0,0,0,filter,0.896922
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00031}))",yfcc-10M,10,8601.020699417366,0.0,357.6665256023407,5546548.0,0,0,filter,0.8978889999999999
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00033}))",yfcc-10M,10,8606.144834489813,0.0,357.6665256023407,5546548.0,0,0,filter,0.899675
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.0003}))",yfcc-10M,10,8447.001104998724,0.0,357.6665256023407,5546548.0,0,0,filter,0.901139
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 32, 'mt_threshold': 0.00035}))",yfcc-10M,10,8493.264037857854,0.0,357.6665256023407,5546548.0,0,0,filter,0.9015409999999999
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00031}))",yfcc-10M,10,8419.486297606747,0.0,357.6665256023407,5546548.0,0,0,filter,0.902074
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00033}))",yfcc-10M,10,8347.5020616975,0.0,357.6665256023407,5546548.0,0,0,filter,0.903827
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 34, 'mt_threshold': 0.00035}))",yfcc-10M,10,8320.257418120438,0.0,357.6665256023407,5546548.0,0,0,filter,0.905636
faissplus,"Faiss(('IVF11264,SQ8', {'nprobe': 40, 'mt_threshold': 0.0003}))",yfcc-10M,10,7937.877382612384,0.0,357.6665256023407,5546548.0,0,0,filter,0.912016
linscan,linscan,sparse-full,10,245.15591350978212,0.0,571.8297996520996,9588132.0,0,0,sparse,0.2950716332378224
linscan,linscan,sparse-full,10,227.5397460487466,0.0,571.8297996520996,9588132.0,0,0,sparse,0.43919770773638966
linscan,linscan,sparse-full,10,200.30533736104564,0.0,571.8297996520996,9588132.0,0,0,sparse,0.6045845272206304
linscan,linscan,sparse-full,10,182.99833569527127,0.0,571.8297996520996,9588132.0,0,0,sparse,0.6762607449856733
linscan,linscan,sparse-full,10,180.50205779955394,0.0,571.8297996520996,9588132.0,0,0,sparse,0.686404011461318
linscan,linscan,sparse-full,10,177.86003785831042,0.0,571.8297996520996,9588132.0,0,0,sparse,0.6942263610315187
linscan,linscan,sparse-full,10,175.35848984500285,0.0,571.8297996520996,9588132.0,0,0,sparse,0.7029942693409742
linscan,linscan,sparse-full,10,173.07258375162064,0.0,571.8297996520996,9588132.0,0,0,sparse,0.7104011461318052
linscan,linscan,sparse-full,10,148.9120131932634,0.0,571.8297996520996,9588132.0,0,0,sparse,0.7774928366762178
linscan,linscan,sparse-full,10,60.756008013119136,0.0,571.8297996520996,9588132.0,0,0,sparse,0.9793123209169055
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 100, 'T': 8}))",text2image-10M,10,30254.033957511383,0.0,11206.063145399094,3463904.0,0,0,ood,0.890293
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 110, 'T': 8}))",text2image-10M,10,27960.18315859041,0.0,11206.063145399094,3463904.0,0,0,ood,0.896481
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 113, 'T': 8}))",text2image-10M,10,27333.55533992098,0.0,11206.063145399094,3463904.0,0,0,ood,0.89803
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 115, 'T': 8}))",text2image-10M,10,26948.196008794985,0.0,11206.063145399094,3463904.0,0,0,ood,0.899052
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 117, 'T': 8}))",text2image-10M,10,26560.866583937528,0.0,11206.063145399094,3463904.0,0,0,ood,0.900088
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 118, 'T': 8}))",text2image-10M,10,26382.097804695546,0.0,11206.063145399094,3463904.0,0,0,ood,0.900563
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 120, 'T': 8}))",text2image-10M,10,25998.395580122004,0.0,11206.063145399094,3463904.0,0,0,ood,0.9015850000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 123, 'T': 8}))",text2image-10M,10,25442.898178883974,0.0,11206.063145399094,3463904.0,0,0,ood,0.9031140000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 125, 'T': 8}))",text2image-10M,10,25095.050937346496,0.0,11206.063145399094,3463904.0,0,0,ood,0.9040100000000001
