algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
cufe,"diskann(('R64_L500', {'Ls': 30, 'T': 8}))",text2image-10M,10,7279.959810036327,0.0,-1.0,11085428.0,0,0,ood,0.790859
cufe,"diskann(('R64_L500', {'Ls': 50, 'T': 8}))",text2image-10M,10,5490.448366029961,0.0,-1.0,11085428.0,0,0,ood,0.852343
cufe,"diskann(('R64_L500', {'Ls': 70, 'T': 8}))",text2image-10M,10,4507.2064405611445,0.0,-1.0,11085428.0,0,0,ood,0.885197
cufe,"diskann(('R64_L500', {'Ls': 100, 'T': 8}))",text2image-10M,10,3561.4162863548163,0.0,-1.0,11085428.0,0,0,ood,0.9141870000000001
diskann,"diskann(('R64_L500', {'Ls': 30, 'T': 8}))",text2image-10M,10,8220.552612368514,0.0,-1.0,11088812.0,0,0,ood,0.790859
diskann,"diskann(('R64_L500', {'Ls': 50, 'T': 8}))",text2image-10M,10,6234.375800793162,0.0,-1.0,11088812.0,0,0,ood,0.852343
diskann,"diskann(('R64_L500', {'Ls': 70, 'T': 8}))",text2image-10M,10,5106.184939893883,0.0,-1.0,11088812.0,0,0,ood,0.885197
diskann,"diskann(('R64_L500', {'Ls': 100, 'T': 8}))",text2image-10M,10,4132.82972826732,0.0,-1.0,11088812.0,0,0,ood,0.9141870000000001
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 70, 'T': 8, 'efSearch': 32}))",text2image-10M,10,7573.446042503093,0.0,20.606487035751343,9923132.0,0,0,ood,0.8635550000000001
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 70, 'T': 8, 'efSearch': 128}))",text2image-10M,10,6640.106372050111,0.0,20.606487035751343,9923132.0,0,0,ood,0.86555
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 80, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6937.091639136287,0.0,20.606487035751343,9923132.0,0,0,ood,0.877434
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 80, 'T': 8, 'efSearch': 128}))",text2image-10M,10,6196.065618049459,0.0,20.606487035751343,9923132.0,0,0,ood,0.8793979999999999
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 85, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6734.157169006247,0.0,20.606487035751343,9923132.0,0,0,ood,0.883373
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 90, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6481.696715359318,0.0,20.606487035751343,9923132.0,0,0,ood,0.888749
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 95, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6272.184337292608,0.0,20.606487035751343,9923132.0,0,0,ood,0.8935280000000001
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 100, 'T': 8, 'efSearch': 32}))",text2image-10M,10,6052.100101117866,0.0,20.606487035751343,9923132.0,0,0,ood,0.897959
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 105, 'T': 8, 'efSearch': 32}))",text2image-10M,10,5876.9827056185695,0.0,20.606487035751343,9923132.0,0,0,ood,0.901895
epsearch,"diskann(('R60_L500_alpha1.0', {'Ls': 110, 'T': 8, 'efSearch': 32}))",text2image-10M,10,5693.436734613872,0.0,20.606487035751343,9923132.0,0,0,ood,0.9056050000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 100, 'T': 8}))",text2image-10M,10,25972.7125466913,0.0,10054.136591434479,3442296.0,0,0,ood,0.8901859999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 100, 'T': 8}))",text2image-10M,10,24033.13191812092,0.0,12980.704694986343,3472904.0,0,0,ood,0.8904759999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 110, 'T': 8}))",text2image-10M,10,23960.960062191152,0.0,10054.136591434479,3442296.0,0,0,ood,0.8962920000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 110, 'T': 8}))",text2image-10M,10,22242.643715166523,0.0,12980.704694986343,3472904.0,0,0,ood,0.8966179999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 113, 'T': 8}))",text2image-10M,10,21698.203690703507,0.0,12980.704694986343,3472904.0,0,0,ood,0.898118
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 115, 'T': 8}))",text2image-10M,10,21391.99462882581,0.0,12980.704694986343,3472904.0,0,0,ood,0.899173
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 117, 'T': 8}))",text2image-10M,10,21031.962706022703,0.0,12980.704694986343,3472904.0,0,0,ood,0.900209
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 118, 'T': 8}))",text2image-10M,10,22555.24801714806,0.0,10054.136591434479,3442296.0,0,0,ood,0.9003249999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 118, 'T': 8}))",text2image-10M,10,20878.974987317466,0.0,12980.704694986343,3472904.0,0,0,ood,0.9007189999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 120, 'T': 8}))",text2image-10M,10,22190.251905649486,0.0,10054.136591434479,3442296.0,0,0,ood,0.901281
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 120, 'T': 8}))",text2image-10M,10,20516.52101025145,0.0,12980.704694986343,3472904.0,0,0,ood,0.9017329999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 123, 'T': 8}))",text2image-10M,10,21777.656995713216,0.0,10054.136591434479,3442296.0,0,0,ood,0.9027369999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 123, 'T': 8}))",text2image-10M,10,20146.247118416475,0.0,12980.704694986343,3472904.0,0,0,ood,0.903234
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 125, 'T': 8}))",text2image-10M,10,21416.5746247916,0.0,10054.136591434479,3442296.0,0,0,ood,0.903621
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 125, 'T': 8}))",text2image-10M,10,19897.609219828784,0.0,12980.704694986343,3472904.0,0,0,ood,0.904158
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 128, 'T': 8}))",text2image-10M,10,21042.52695508358,0.0,10054.136591434479,3442296.0,0,0,ood,0.9048
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 128, 'T': 8}))",text2image-10M,10,19370.337849349133,0.0,12980.704694986343,3472904.0,0,0,ood,0.9054930000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 130, 'T': 8}))",text2image-10M,10,20714.551841495875,0.0,10054.136591434479,3442296.0,0,0,ood,0.905621
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 130, 'T': 8}))",text2image-10M,10,19149.148223707383,0.0,12980.704694986343,3472904.0,0,0,ood,0.9063510000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 133, 'T': 8}))",text2image-10M,10,20260.53624892588,0.0,10054.136591434479,3442296.0,0,0,ood,0.906866
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 135, 'T': 8}))",text2image-10M,10,20056.785183920634,0.0,10054.136591434479,3442296.0,0,0,ood,0.9076739999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 133, 'T': 8}))",text2image-10M,10,18858.45297436587,0.0,12980.704694986343,3472904.0,0,0,ood,0.9077080000000001
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 135, 'T': 8}))",text2image-10M,10,18670.398101579813,0.0,12980.704694986343,3472904.0,0,0,ood,0.9085089999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 140, 'T': 8}))",text2image-10M,10,19398.64130552921,0.0,10054.136591434479,3442296.0,0,0,ood,0.909539
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 140, 'T': 8}))",text2image-10M,10,18071.719274939685,0.0,12980.704694986343,3472904.0,0,0,ood,0.9102539999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 145, 'T': 8}))",text2image-10M,10,18814.805218527497,0.0,10054.136591434479,3442296.0,0,0,ood,0.9113239999999999
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 145, 'T': 8}))",text2image-10M,10,17441.31644866809,0.0,12980.704694986343,3472904.0,0,0,ood,0.912032
mysteryann,"mystery_order_sq8(('M_bp35_L_pq500_NoT5_ord', {'L_pq': 150, 'T': 8}))",text2image-10M,10,18306.685375319208,0.0,10054.136591434479,3442296.0,0,0,ood,0.912903
mysteryann,"mystery_order_sq8(('M_bp35_L_pq800_NoT5_ord', {'L_pq': 150, 'T': 8}))",text2image-10M,10,16884.496035530712,0.0,12980.704694986343,3472904.0,0,0,ood,0.913678
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 80, 'T': 8}))",text2image-10M,10,25192.52354029848,0.0,15153.181450128555,3764068.0,0,0,ood,0.892398
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 83, 'T': 8}))",text2image-10M,10,24301.803979772212,0.0,15153.181450128555,3764068.0,0,0,ood,0.8946910000000001
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 85, 'T': 8}))",text2image-10M,10,23945.025202110708,0.0,15153.181450128555,3764068.0,0,0,ood,0.896139
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 88, 'T': 8}))",text2image-10M,10,23195.239491739216,0.0,15153.181450128555,3764068.0,0,0,ood,0.8982129999999999
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 90, 'T': 8}))",text2image-10M,10,22856.226120952877,0.0,15153.181450128555,3764068.0,0,0,ood,0.89951
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 92, 'T': 8}))",text2image-10M,10,22491.577262781466,0.0,15153.181450128555,3764068.0,0,0,ood,0.900859
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 93, 'T': 8}))",text2image-10M,10,22256.957209457916,0.0,15153.181450128555,3764068.0,0,0,ood,0.901512
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 95, 'T': 8}))",text2image-10M,10,21683.12436448727,0.0,15153.181450128555,3764068.0,0,0,ood,0.902791
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 100, 'T': 8}))",text2image-10M,10,20796.958647893043,0.0,15153.181450128555,3764068.0,0,0,ood,0.905522
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 103, 'T': 8}))",text2image-10M,10,20341.434900316977,0.0,15153.181450128555,3764068.0,0,0,ood,0.907004
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 107, 'T': 8}))",text2image-10M,10,19773.54007458148,0.0,15153.181450128555,3764068.0,0,0,ood,0.9090210000000001
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 110, 'T': 8}))",text2image-10M,10,19148.947146755723,0.0,15153.181450128555,3764068.0,0,0,ood,0.9104660000000001
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 115, 'T': 8}))",text2image-10M,10,18449.400270800325,0.0,15153.181450128555,3764068.0,0,0,ood,0.9126429999999999
mysteryann-dif,"mystery_dif(('M_bp45_L_pq800_NoT5_ord', {'L_pq': 120, 'T': 8}))",text2image-10M,10,17773.55981778379,0.0,15153.181450128555,3764068.0,0,0,ood,0.914775
ngt,"ngt-onng(140, 10, 175, 0.38, 1.01)",text2image-10M,10,10985.191861301393,0.0,17207.229791641235,13520028.0,0,0,ood,0.836957
ngt,"ngt-onng(140, 10, 175, 0.38, 1.014)",text2image-10M,10,8180.4655435835475,0.0,17207.229791641235,13520028.0,0,0,ood,0.8792350000000001
ngt,"ngt-onng(140, 10, 175, 0.38, 1.016)",text2image-10M,10,6947.188054485262,0.0,17207.229791641235,13520028.0,0,0,ood,0.896765
ngt,"ngt-onng(140, 10, 175, 0.38, 1.017)",text2image-10M,10,6373.934424627632,0.0,17207.229791641235,13520028.0,0,0,ood,0.9045719999999999
ngt,"ngt-onng(140, 10, 175, 0.38, 1.018)",text2image-10M,10,5840.45799462455,0.0,17207.229791641235,13520028.0,0,0,ood,0.9121409999999999
ngt,"ngt-onng(140, 10, 175, 0.38, 1.02)",text2image-10M,10,4915.01731878989,0.0,17207.229791641235,13520028.0,0,0,ood,0.925044
ngt,"ngt-onng(140, 10, 175, 0.38, 1.025)",text2image-10M,10,3124.5794247695217,0.0,17207.229791641235,13520028.0,0,0,ood,0.950941
puck,"Puck('C1000_F1000_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 160})",text2image-10M,10,8699.573200088375,0.0,3755.9797084331512,10461336.0,0,0,ood,0.90274
puck,"Puck('C1000_F1000_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 165})",text2image-10M,10,8569.286434280677,0.0,3755.9797084331512,10461336.0,0,0,ood,0.9050779999999999
puck,"Puck('C1000_F1000_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 170})",text2image-10M,10,8445.65128004966,0.0,3755.9797084331512,10461336.0,0,0,ood,0.9072290000000001
puck,"Puck('C1000_F1000_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 175})",text2image-10M,10,8291.625663753955,0.0,3755.9797084331512,10461336.0,0,0,ood,0.90931
puck,"Puck('C1000_F1000_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 190})",text2image-10M,10,7712.680979266639,0.0,3755.9797084331512,10461336.0,0,0,ood,0.915129
pyanns,pyanns(R48_L500)_ef90,text2image-10M,10,24651.9776841128,0.0,65.571697473526,9467416.0,0,0,ood,0.886506
pyanns,pyanns(R48_L500)_ef95,text2image-10M,10,23800.50651569667,0.0,65.571697473526,9467416.0,0,0,ood,0.891129
pyanns,pyanns(R48_L500)_ef100,text2image-10M,10,23171.50493762019,0.0,65.571697473526,9467416.0,0,0,ood,0.8954610000000001
