algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
cufe,cufe_linscan,sparse-full,10,227.63434120117714,0.0,600.1445260047913,6189808.0,0,0,sparse,0.4206428571428572
cufe,cufe_linscan,sparse-full,10,186.39229552582927,0.0,600.1445260047913,6189808.0,0,0,sparse,0.6936857142857142
cufe,cufe_linscan,sparse-full,10,128.83507399539567,0.0,600.1445260047913,6189808.0,0,0,sparse,0.8408285714285715
cufe,cufe_linscan,sparse-full,10,103.99974105027506,0.0,600.1445260047913,6189808.0,0,0,sparse,0.8892714285714286
cufe,cufe_linscan,sparse-full,10,100.73685289870832,0.0,600.1445260047913,6189808.0,0,0,sparse,0.8954142857142857
cufe,cufe_linscan,sparse-full,10,97.8604649178429,0.0,600.1445260047913,6189808.0,0,0,sparse,0.900457142857143
cufe,cufe_linscan,sparse-full,10,94.78651516094016,0.0,600.1445260047913,6189808.0,0,0,sparse,0.9048428571428572
cufe,cufe_linscan,sparse-full,10,92.40971530702063,0.0,600.1445260047913,6189808.0,0,0,sparse,0.9104142857142857
cufe,cufe_linscan,sparse-full,10,70.25161890632613,0.0,600.1445260047913,6189808.0,0,0,sparse,0.9523142857142858
cufe,cufe_linscan,sparse-full,10,46.95888598717684,0.0,600.1445260047913,6189808.0,0,0,sparse,0.9875
linscan,linscan,sparse-full,10,232.79487832568057,0.0,537.684385061264,9695816.0,0,0,sparse,0.47709999999999997
linscan,linscan,sparse-full,10,179.690479113319,0.0,537.684385061264,9695816.0,0,0,sparse,0.7132571428571428
linscan,linscan,sparse-full,10,124.49983965839021,0.0,537.684385061264,9695816.0,0,0,sparse,0.8423285714285715
linscan,linscan,sparse-full,10,101.19950394259968,0.0,537.684385061264,9695816.0,0,0,sparse,0.8887571428571428
linscan,linscan,sparse-full,10,98.18691889340374,0.0,537.684385061264,9695816.0,0,0,sparse,0.895357142857143
linscan,linscan,sparse-full,10,95.0988707651076,0.0,537.684385061264,9695816.0,0,0,sparse,0.9011285714285714
