algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,mean_ssd_ios,mean_latency,track,recall/ap
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 1}))",random-filter-s,10,17210.013417421313,0.0,4.049878358840942,53980.0,0,0,filter,0.9147000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 2}))",random-filter-s,10,13434.971315820661,0.0,4.049878358840942,53980.0,0,0,filter,0.9701000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 4}))",random-filter-s,10,8898.944679478747,0.0,4.049878358840942,53980.0,0,0,filter,0.9759
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 1}))",random-s,10,107284.9213454406,0.0,-1.0,6400.0,0,0,filter,0.9137000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 2}))",random-s,10,52454.37150610923,0.0,-1.0,6400.0,0,0,filter,0.9635999999999999
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 4}))",random-s,10,34813.56916973082,0.0,-1.0,6400.0,0,0,filter,0.9692000000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,6795.64131225567,0.0,1072.5426700115204,4882552.0,0,0,filter,0.482366
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,6077.0430330389545,0.0,1072.5426700115204,4882552.0,0,0,filter,0.5379240000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,6428.107866805404,0.0,1072.5426700115204,4882552.0,0,0,filter,0.6253599999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,5765.3369217869695,0.0,1072.5426700115204,4882552.0,0,0,filter,0.673125
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,5349.823779832417,0.0,1072.5426700115204,4882552.0,0,0,filter,0.78061
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,1166.2876613086733,0.0,1072.5426700115204,4882552.0,0,0,filter,0.7835880000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,4911.40567052702,0.0,1072.5426700115204,4882552.0,0,0,filter,0.8174239999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,4384.772235694261,0.0,1072.5426700115204,4882552.0,0,0,filter,0.847014
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,1161.1679057350602,0.0,1072.5426700115204,4882552.0,0,0,filter,0.862773
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,4159.390450900283,0.0,1072.5426700115204,4882552.0,0,0,filter,0.877257
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,3262.4235190588574,0.0,1072.5426700115204,4882552.0,0,0,filter,0.901073
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,3189.0423626576003,0.0,1072.5426700115204,4882552.0,0,0,filter,0.9240959999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,2593.7880792005567,0.0,1072.5426700115204,4882552.0,0,0,filter,0.926014
