algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall_ap
diskann-t2,DiskANN,bigann-1B,10,1624.3299398503177,0.0,1000000.0,60390712.0,37178.84557712765,0.0,0.0,0.94913
diskann-t2,DiskANN,bigann-1B,10,2340.073379471579,0.0,1000000.0,60390712.0,25807.187300099566,0.0,0.0,0.89605
diskann-t2,DiskANN,bigann-1B,10,1344.9500289797447,0.0,1000000.0,60390712.0,44901.82586620808,0.0,0.0,0.96411
diskann-t2,DiskANN,bigann-1B,10,1488.4682238261153,0.0,1000000.0,60390712.0,40572.389140270236,0.0,0.0,0.95691
diskann-t2,DiskANN,bigann-1B,10,1733.5135549777413,0.0,1000000.0,60390712.0,34837.17322347412,0.0,0.0,0.9426500000000001
diskann-t2,DiskANN,bigann-1B,10,1997.0100346528022,0.0,1000000.0,60390712.0,30240.56512089558,0.0,0.0,0.9246700000000001
diskann-t2,DiskANN,bigann-1B,10,1429.0259795060365,0.0,1000000.0,60390712.0,42260.051857752034,0.0,0.0,0.9599399999999999
diskann-t2,DiskANN,bigann-1B,10,1002.2212621815777,0.0,1000000.0,60390712.0,60256.86570303344,0.0,0.0,0.97882
diskann-t2,DiskANN,bigann-1B,10,1203.6874015635724,0.0,1000000.0,60390712.0,50171.42484132786,0.0,0.0,0.9699899999999999
diskann-t2,DiskANN,bigann-1B,10,1527.4273883642213,0.0,1000000.0,60390712.0,39537.533803603365,0.0,0.0,0.9549200000000001
kota-t2,DiskANN,bigann-1B,10,1642.9486573844054,2375.40114,1000000.0,60379620.0,36750.76499111366,59.1014,4829.8101,0.94337
kota-t2,DiskANN,bigann-1B,10,2217.5682863981187,1801.02192,1000000.0,60379620.0,27227.85150308561,41.2181,3572.5136,0.89177
kota-t2,DiskANN,bigann-1B,10,1420.3258344842309,2677.71058,1000000.0,60379620.0,42511.10451844025,68.5255,5564.5106,0.9581500000000001
kota-t2,DiskANN,bigann-1B,10,1533.9216597336165,2519.14818,1000000.0,60379620.0,39362.90984409571,63.5898,5166.4773,0.9508599999999999
kota-t2,DiskANN,bigann-1B,10,1729.9645217994996,2268.1108,1000000.0,60379620.0,34902.23021290255,55.7439,4592.0382,0.9371
kota-t2,DiskANN,bigann-1B,10,1938.0611173226125,2043.5712,1000000.0,60379620.0,31154.65217289591,48.7581,4092.3886,0.9196
kota-t2,DiskANN,bigann-1B,10,1489.4038761039308,2580.0169,1000000.0,60379620.0,40539.45405187512,65.4768,5320.1737,0.9541000000000001
